region_id,region_name,region_level,station_count
131,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - oTs,1,7
132,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - pC,1,40
133,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - plTs,1,19
134,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - water,1,5
135,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-OREGON COAST RANGE - Tertiary rocks,2,8
136,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-OREGON COAST RANGE - eTs,1,8
137,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-PUGET TROUGH - Qa,1,7
138,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-PUGET TROUGH - Qg,1,29
139,ROCKY MOUNTAIN SYSTEM-MIDDLE ROCKY MOUNTAINS-UnknownSection - PZms,1,7
140,ROCKY MOUNTAIN SYSTEM-MIDDLE ROCKY MOUNTAINS-UnknownSection - Qa,1,7
141,ROCKY MOUNTAIN SYSTEM-MIDDLE ROCKY MOUNTAINS-UnknownSection - Qs,1,5
142,ROCKY MOUNTAIN SYSTEM-MIDDLE ROCKY MOUNTAINS-UnknownSection - Qv,1,5
143,ROCKY MOUNTAIN SYSTEM-MIDDLE ROCKY MOUNTAINS-UnknownSection - Tertiary rocks,2,7
144,ROCKY MOUNTAIN SYSTEM-NORTHERN ROCKY MOUNTAINS-UnknownSection - MZgr,1,10
145,ROCKY MOUNTAIN SYSTEM-NORTHERN ROCKY MOUNTAINS-UnknownSection - Qg,1,11
146,"ROCKY MOUNTAIN SYSTEM-NORTHERN ROCKY MOUNTAINS-UnknownSection - Quaternary units, undifferentiated",2,5
147,ROCKY MOUNTAIN SYSTEM-NORTHERN ROCKY MOUNTAINS-UnknownSection - Tertiary rocks,2,11
148,ROCKY MOUNTAIN SYSTEM-NORTHERN ROCKY MOUNTAINS-UnknownSection - Undifferentiated Paleozoic rocks,2,5
149,ROCKY MOUNTAIN SYSTEM-NORTHERN ROCKY MOUNTAINS-UnknownSection - Ymss,1,10
150,UnknownDivision-LLANURA SONORENSE-DESIERTO DE ALTAR - UnknownGeoUnit,1,17
151,UnknownDivision-PENÍNSULA DE BAJA CALIFORNIA-SIERRAS DE BAJA CALIFORNIA NORTE - UnknownGeoUnit,1,10
